rel_path,ext,format,subtype,channels,sample_rate,duration_sec,file_size_bytes,source_domain
Gyaase_Meeting_2nd_April_2024 (1064).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1065).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1066).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1067).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1068).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1069).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (107).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1070).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1071).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1072).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1073).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1074).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1075).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1076).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1077).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1078).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1079).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (108).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1080).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1081).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1082).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1083).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1084).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1085).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1086).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1087).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1088).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1089).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (109).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1090).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1091).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1092).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1093).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1094).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1095).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1096).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1097).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1098).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1099).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (11).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (110).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1100).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1101).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1102).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1103).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1104).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1105).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1106).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1107).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1108).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1109).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (111).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1110).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1111).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1112).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1113).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1114).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1115).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
